,A,B,Ratio
5345,MSc Digital Signal and Image Processing,Digital,100
5346,MSc Direct Marketing,Marketing,100
5347,MSc Earthquake and Civil Engineering Dynamics,Engineering ,100
5348,MSc East Asian Business,Business,100
5349,MSc E-Business & Innovation,Business,100
5350,MSc E-Business & Innovation,Innovation,100
5351,MSc Econ Accounting and Finance,Accounting,100
5352,MSc Econ Accounting and Finance,Finance,100
5353,MSc Economics,Economics,100
5354,MSc Economics & Finance,Economics,100
5355,MSc Economics & Finance,Finance,100
5356,MSc Economics & Public Policy,Economics,100
5357,MSc Economics & Public Policy ,Economics,100
5358,MSc Economics and Health Economics,Economics,100
5359,MSc Economics L1T109,Economics,100
5360,"MSc Economics, Applied",Economics,100
5361,MSc Education Studies,Education,100
5362,MSc Electrical Power & Control Engineering,Electrical,100
5363,MSc Electrical Power & Control Engineering,Engineering ,100
5364,MSc Electrical Power and Control Engineering,Electrical,100
5365,MSc Electrical Power and Control Engineering,Engineering ,100
5366,MSc Electrical Power and Control Engineering (2 year course: 1 year in industry),Electrical,100
5367,MSc Electrical Power and Control Engineering (2 year course: 1 year in industry),Engineering ,100
5368,"MSc Electrical Power Engineering, Advanced",Electrical,100
5369,"MSc Electrical Power Engineering, Advanced",Engineering ,100
5370,MSc Electronic & Electrical Engineering,Electrical,100
5371,MSc Electronic & Electrical Engineering,Engineering ,100
5372,MSc Electronic and Electrical Engineering,Electrical,100
5373,MSc Electronic and Electrical Engineering,Engineering ,100
5374,MSC Electronic and Electrical Engineering H1K909,Electrical,100
5375,MSC Electronic and Electrical Engineering H1K909,Engineering ,100
5376,MSc Electronic Engineering,Engineering ,100
5377,MSc Energy Engineering with Industrial Management,Engineering ,100
5378,MSc Energy Engineering with Industrial Management,Management,100
5379,MSc Energy Engineering with Industrial Management,Industrial,100
5380,MSc Energy Engineering with Industrial Management ,Engineering ,100
5381,MSc Energy Engineering with Industrial Management ,Management,100
5382,MSc Energy Engineering with Industrial Management ,Industrial,100
5383,MSc Energy Systems Innovation,Systems,100
5384,MSc Energy Systems Innovation,Innovation,100
5385,MSc Engineering (by research),Engineering ,100
